5,11,18
0,8,15
8,9,17
4,7,9
7,10,14
1,3,8
1,2,9
6,10,13
1,4,17
14,17,19
2,17,19
2,7,10
7,8,11
4,10,14
0,11,13
4,10,15
3,15,17
3,4,8
9,15,16
2,3,14
0,13,15
12,16,18
1,2,3
3,5,8
9,16,19
3,7,17
0,3,10
0,3,9
6,16,18
0,4,5
1,5,14
2,14,19
1,4,13
8,11,13
2,5,9
3,7,10
6,13,17
3,15,19
2,6,15
3,11,19
4,10,11
0,1,2
8,18,19
0,4,13
2,5,7
10,15,18
11,16,18
10,14,16
0,3,11
5,17,18
2,5,6
1,13,15
15,16,19
4,8,14
6,17,18
8,15,18
6,12,16
2,9,13
5,16,17
6,7,9
9,13,15
8,16,18
3,14,17
6,7,13
5,16,19
0,5,8
9,14,18
3,12,18
3,5,9
4,11,13
3,12,14
2,9,14
14,16,18
4,8,10
9,11,18
8,9,15
1,14,16
6,12,14
4,9,18
3,5,7
8,13,15
2,8,10
8,9,12
10,13,15
1,10,15
5,6,10
5,9,10
4,11,18
1,9,10
0,7,8
8,13,17
6,10,16
8,14,19
3,9,14
0,6,9
0,5,16
7,10,12
1,8,16
7,8,19
3,4,18
6,15,19
1,6,18
7,8,17
6,9,16
3,17,19
4,10,13
4,8,19
0,6,12
3,11,18
6,8,15
3,16,18
6,9,11
0,6,8
6,11,13
12,18,19
6,15,17
6,11,18
2,16,17
3,12,17
0,1,5
1,14,15
6,10,19
5,13,16
2,10,17
11,12,18
0,10,17
0,15,18
2,11,12
1,6,12
0,5,19
0,14,17
9,10,18
0,2,16
2,12,14
4,15,18
0,4,11
5,15,19
3,8,12
5,9,16
4,16,17
12,16,17
14,15,18
4,9,15
1,11,19
1,6,14
8,16,17
5,8,9
5,11,17
2,7,15
0,1,8
6,13,16
1,10,17
10,14,17
5,14,16
1,8,15
3,7,11
9,10,14
15,16,18
15,17,18
5,9,11
5,11,16
3,8,10
2,7,12
6,7,14
13,15,17
2,11,14
7,8,14
0,11,14
2,4,5
4,10,12
11,17,19
1,10,13
4,13,14
6,14,19
2,3,18
3,9,12
11,14,16
7,12,13
3,7,13
2,10,18
3,6,18
1,8,9
1,3,10
3,8,16
14,16,17
2,5,10
10,13,17
0,13,17
1,3,18
2,14,17
0,6,10
2,3,4
16,17,19
12,13,15
9,11,13
6,11,15
6,11,14
1,10,11
0,2,9
2,4,13
0,5,9
5,10,18
1,9,19
0,1,4
8,9,10
1,7,16
0,3,16
0,4,9
4,8,11
10,16,19
2,11,13
2,11,19
5,7,14
1,3,15
2,5,18
0,6,14
9,10,13
6,8,12
13,15,19
0,2,18
4,11,17
3,5,15
3,10,12
7,12,16
1,4,7
0,14,18
2,14,18
12,15,18
10,14,19
6,8,19
0,10,13
4,9,13
3,6,9
2,8,17
4,7,12
5,15,17
2,3,19
0,6,13
3,10,13
5,7,9
8,9,13
8,9,18
9,18,19
6,18,19
6,17,19
1,16,17
6,16,19
5,9,15
4,13,16
8,11,12
1,11,18
1,4,10
0,3,14
6,7,10
2,7,9
4,10,19
